,0
23,http://cnnphilippines.com/world/2020/9/17/covid-vaccine-americans-mid-2021.html
24,http://cnnphilippines.com/news/2020/11/22/dost-covid-vaccine-lacson-romualdez.html
25,http://cnnphilippines.com/news/2020/11/24/sotto-lacson-romualdez-covid-vaccine.html
26,http://cnnphilippines.com/news/2020/12/2/AstraZeneca-covid-vaccine-application-FDA.html
27,http://cnnphilippines.com/world/2020/12/9/US-target-covid-vaccine-distribution.html
28,http://cnnphilippines.com/news/2020/12/22/House-bill-Covid-vaccine-passport.html
29,http://cnnphilippines.com/news/2020/12/28/military-covid-vaccination-duterte-authorized.html
30,http://cnnphilippines.com/world/2020/12/19/COVID-vaccine-wealthy-California-patients.html
31,http://cnnphilippines.com/news/2020/12/18/Pfizer-COVID-vaccines-Philippines-Duque.html
32,http://cnnphilippines.com/world/2021/1/12/disneyland-california-covid-vaccination-site.html
33,http://cnnphilippines.com/news/2020/12/27/Western-covid-vaccines-Philippines-Sinovac.html
34,http://cnnphilippines.com/world/2020/12/17/Pfizer-COVID-vaccine-allergic-reaction.html
35,http://cnnphilippines.com/news/2021/1/15/Pfizer-affordable-COVID-vaccines-PH.html
36,http://cnnphilippines.com/news/2020/12/15/filipina-canada-covid-vaccine-recipient.html
37,http://cnnphilippines.com/world/2021/1/29/johnson-johnson-covid-vaccine-efficacy.html
38,http://cnnphilippines.com/world/2021/2/3/astrazeneca-covid-vaccine-reduce-transmission.html
39,http://cnnphilippines.com/world/2021/1/24/uk-covid-vaccine-shot-delay.html
40,http://cnnphilippines.com/world/2021/2/19/UN-world-COVID-vaccine-supply.html
41,http://cnnphilippines.com/news/2021/3/1/philippine-red-cross-covid-vaccination.html
42,http://cnnphilippines.com/world/2021/3/11/Alaska-COVID-vaccination-age-group.html
43,http://cnnphilippines.com/world/2021/3/4/us-white-house-covid-vaccines.html
44,http://cnnphilippines.com/world/2020/5/18/Moderna-covid-vaccine-trial-early-results.html
45,http://cnnphilippines.com/world/2020/5/26/another-covid-vaccine-enters-human-trials.html
46,http://cnnphilippines.com/world/2020/7/10/biontech-covid-vaccine-ready-end-of-2020.html
47,http://cnnphilippines.com/world/2020/8/7/fauci-first-week-covid-vaccine-trial.html
48,http://cnnphilippines.com/news/2020/11/11/duterte-possibly-limited-covid-vaccine-supply.html
49,http://cnnphilippines.com/news/2020/12/8/Quezon-City-COVID-vaccine-task-force.html
50,http://cnnphilippines.com/world/2020/12/8/UK-first-COVID-vaccine-Pfizer-Biontech.html
51,http://cnnphilippines.com/world/2020/12/9/covid-vaccine-allergies-uk-health-workers.html
52,http://cnnphilippines.com/world/2020/12/18/Moderna-US-FDA-COVID-vaccine-authorization.html
53,http://cnnphilippines.com/world/2020/12/13/bill-gates-presidential-transition-covid-vaccine.html
54,http://cnnphilippines.com/world/2020/12/29/kirkland-life-care-center-covid-vaccine.html
55,http://cnnphilippines.com/news/2020/12/16/Duque-Pfizer-COVID-vaccines-Locsin-Romualdez.html
56,http://cnnphilippines.com/news/2021/1/17/drilon-senate-investigation-covid-vaccine-program.html
57,http://cnnphilippines.com/news/2020/12/27/DOH-China-Sinopharm-COVID-vaccine-Duterte.html
58,http://cnnphilippines.com/news/2020/12/28/FDA-clinical-trials-COVID-vaccine-January.html
59,http://cnnphilippines.com/news/2021/2/19/Galvez-COVID-vaccine-delay-supply-patience.html
60,http://cnnphilippines.com/world/2021/1/25/moderna-covid-vaccine-protect-new-variants.html
61,http://cnnphilippines.com/world/2021/2/4/covid-vaccines-development-hit-critical-mass.html
62,http://cnnphilippines.com/news/2021/2/16/expert-urges-early-widespread-covid-vaccination.html
63,http://cnnphilippines.com/world/2021/3/9/pfizer-covid-vaccine-protect-brazil-variant.html
64,http://cnnphilippines.com/news/2021/2/28/duterte-awaiting-another-china-covid-vaccine.html
65,http://cnnphilippines.com/world/2021/2/23/pfizer-covid-vaccine-reduces-risk-infection.html
66,http://cnnphilippines.com/business/2021/2/23/San-Miguel-Corporation-free-COVID-vaccination.html
67,http://cnnphilippines.com/news/2021/3/4/covid-vaccination-senior-citizens-police-q2.html
68,http://cnnphilippines.com/world/2021/3/11/smithsonian-vial-first-covid-vaccine-US.html
69,http://cnnphilippines.com/news/2020/5/24/PH-covid-vaccine-trials-to-start-fourth-quarter.html
70,http://cnnphilippines.com/sports/2020/6/2/POC-head-top-athletes-prioritized-covid-vaccination.html
71,http://cnnphilippines.com/world/2020/6/5/expect-covid-vaccine-next-year-NIH-director.html
72,http://cnnphilippines.com/world/2020/7/29/russia-claims-approve-worlds-first-covid-vaccine.html
73,http://cnnphilippines.com/world/2020/9/6/Russia-Sputnik-V-COVID-vaccine-frontliner-workers.html
74,http://cnnphilippines.com/world/2020/11/27/AstraZeneca-COVID-vaccine-trial-findings-transparency-data.html
75,http://cnnphilippines.com/world/2020/12/17/US-President-elect-Joe-Biden-COVID-vaccine.html
76,http://cnnphilippines.com/news/2020/12/28/PSG-military-first-COVID-vaccination-protect-Duterte.html
77,http://cnnphilippines.com/news/2020/12/29/AFP-regulators-COVID-vaccine-fast-track-approval.html
78,http://cnnphilippines.com/null/2021/1/13/Kiko-Pangilinan-COVID-vaccine-LGU-private-sector.html
79,http://cnnphilippines.com/null/2020/12/14/Ping-Lacson-COVID-vaccine-purchase-unprogrammed-fund.html
80,http://cnnphilippines.com/world/2021/2/5/covid-vaccine-inequality-could-cause-deadly-consequences.html
81,http://cnnphilippines.com/world/2021/2/19/johnson-johnson-applies-WHO-authorization-covid-vaccine.html
82,http://cnnphilippines.com/world/2021/2/24/russia-shows-off-new-covid-vaccine-factory.html
83,http://cnnphilippines.com/world/2020/5/29/GSK-one-billion-doses-booster-potential-covid-vaccine.html
84,http://cnnphilippines.com/news/2020/8/31/CoronaVac-Sinovac-China-COVID-vaccine-clinical-trials-Philippines.html
85,http://cnnphilippines.com/world/2020/9/1/Emergency-use-authorization-covid-vaccine-should-not-be-done-lightly.html
86,http://cnnphilippines.com/world/2020/9/5/widespread-covid-vaccination-not-likely-available-until-mid-2021.html
87,http://cnnphilippines.com/world/2020/11/21/pfizer-biontech-submit-fda-emergency-authorization-covid-vaccine.html
88,http://cnnphilippines.com/world/2020/12/11/US-FDA-EUA-emergency-use-Pfizer-COVID-vaccine.html
89,http://cnnphilippines.com/news/2020/12/18/Philippines-Pfizer-COVID-vaccine-supply-Locsin-Romualdez-Duque.html
90,http://cnnphilippines.com/world/2021/2/16/novavax-tests-new-version-covid-vaccine-new-variant.html
91,http://cnnphilippines.com/world/2021/2/20/G7-pledges-four-billion-dollars-covid-vaccine-initiatives.html
92,http://cnnphilippines.com/news/2021/3/9/shut-up-duterte-tells-robredo-sinovac-covid-vaccine.html
93,http://cnnphilippines.com/world/2021/2/27/pfizer-covid-vaccine-single-dose-protect-asymptomatic-infection.html
94,http://cnnphilippines.com/world/2020/6/27/WHO-hope-deliver-two-billion-covid-vaccine-doses-2021.html
95,http://cnnphilippines.com/world/2020/7/2/8k-people-vaccinated-phase-three-oxford-covid-vaccine-trial.html
96,http://cnnphilippines.com/world/2020/7/22/vaccine-makers-hope-covid-vaccine-end-2020-depends-data.html
97,http://cnnphilippines.com/world/2020/9/7/pfizer-biontech-approved-to-start-phase-two-covid-vaccine-trial.html
98,http://cnnphilippines.com/world/2020/11/21/sinopharm-claims-almost-a-million-people-experimental-covid-vaccine-china.html
99,http://cnnphilippines.com/world/2020/12/11/University-of-Queensland-CSL-COVID-vaccine-clinical-trial-HIV-result.html
100,http://cnnphilippines.com/news/2021/1/17/fda-hopes-deaths-linked-to-covid-vaccine-wont-scare-filipinos.html
101,http://cnnphilippines.com/news/2021/1/18/palace-asks-public-wait-dutertes-decision-covid-vaccine-shot.html
102,http://cnnphilippines.com/news/2021/1/25/lorenzana-ph-navy-coast-guard-ships-capable-covid-vaccines.html
103,http://cnnphilippines.com/world/2021/2/23/sanofi-gsk-start-phase-2-clinical-trial-covid-vaccine.html
104,http://cnnphilippines.com/world/2021/2/23/novavax-completes-enrollment-phase-3-covid-vaccine-clinical-trial.html
105,http://cnnphilippines.com/world/2020/12/22/COVID-19-vaccine-myths.html
