,urls,authors,dates,headlines,contents,news_agency
83,https://www.manilatimes.net/2021/02/12/news/national/covid-spikes-in-3-regions-but-cases-drop-slightly/839844/,Red Mendoza,2021-02-12,"Covid spikes in 3 regions, but cases drop slightly","The Department of Health (DoH) has reported spikes in coronavirus disease 2019 (Covid-19) cases in at least three regions in the country and warned of another surge during the Lunar New Year today and Valentine’s Day. Dr. Alethea de Guzman of the department’s Epidemiology Bureau said based on the overall caseload, the national Covid-19 growth rate has dropped a bit and the healthcare utilization rate for all regions is in the safe zone. The number of severe and critical cases has also gone down, from 8 to 9 percent a few months ago to just 5 percent this month. De Guzman said there was a minor surge in the middle of January because of increased mobility and crowd gatherings during the holiday season. The DoH said while that the two-week growth rate and the average daily attack rate have gone down in the past few weeks, three regions — Cagayan Valley, Central Visayas, Soccsksargen (South Cotabato, Cotabato, Sultan Kudarat, Sarangani, and General Santos City) and Caraga — posted positive growth rates in the past weeks, placing them under moderate risk. In Cagayan Valley, the increase was observed in Cagayan and Isabela provinces and Santiago City. In Central Visayas, Cebu province, including the cities of Cebu, Lapu-Lapu and Mandaue, are experiencing a steep rise in cases. Caraga, Agusan del Norte and Dinagat Island were the only areas with a dropping number of cases. Other priority areas flagged by the DoH are Naga City, Mountain Province, Kalinga, Baguio City, Compostela Valley, Tacloban City, Davao City, Benguet, Makati City, Ifugao, Davao del Norte, Lanao del Sur and Bataan. “Kahit na maliit na numero ito, fina-flag na namin (Even if the number of cases are small, we are flagging this) because spikes in cases can start very small, we do not want them to reach high numbers again,” de Guzman said. The number of Covid-19 deaths rose slightly to 2.11 percent due to the continuing harmonization of data together with the Philippine Statistics Authority, de Guzman said. Meanwhile, Dr. Guido David of the Octa Research Group has warned that if the uptrend in Cebu City continues, the city’s hospital bed capacity will exceed the current 850 beds, with occupancy reaching up to 1,200 by March 1. The country logged 1,734 Covid cases on Thursday, for a total of 543,282 cases. The DoH also said it has traced the lone case of the new Covid-19 variant who listed Liloan, Cebu, as his hometown, in Quezon City, where he is now isolated. The Quezon City government said the 35-year-old male moved to Sucat, Parañaque City and made frequent visits to his manning agency in Malate, Manila. His last visit was on
January 14 after he secured another overseas placement. While waiting for deployment, the man rode a cab and stayed in a hotel in Manila on January 17, where he took a swab test. His results returned positive the same day and his sample was sent to the Philippine Genome Center until January 21, when his agency booked a ride-hailing cab and transferred him to an apartment in Riverside in Commonwealth, Quezon City. The genome sequencing results released on February 5 showed that he was positive for the B117 variant. Three days later, he developed a mild cough. De Guzman said the patient, a former overseas Filipino worker, traveled from Cebu to Manila to process his papers. He added that because of the patient’s mobility, the case investigation now involves several cities where he made his contacts.",Manila Times
84,https://www.manilatimes.net/2021/02/11/news/latest-stories/ph-records-1734-new-covid-cases/840043/,Red Mendoza,2021-02-11,"PH records 1,734 new Covid cases","THE Philippines has logged 1,734 new cases of the coronavirus disease 2019 (Covid-19), raising the count to 543,282, the Department of Health (DoH) said on Thursday. More than 95 percent of the 31,478 active cases were either mild, moderate or asymptomatic while the rest, or almost 5 percent, were critical or severe. At least 500,335 have recovered from the virus while 11,469 have died. The DoH-accredited Covid laboratories have conducted 26,910 tests, 1,396 of which returned positive for a positivity rate of 5.2 percent.",Manila Times
85,https://www.manilatimes.net/2021/02/11/news/latest-stories/house-on-abs-cbn-franchise-wait-until-next-congress/839641/,Divina Nova Joy Dela Cruz,2021-02-11,House on ABS-CBN franchise: ‘Wait until next Congress’,"CALLS to revive the franchise of media network ABS-CBN will have to wait “until the next Congress” or in 2022, when the current administration ends, Speaker Lord Allan Velasco said on Thursday. Velasco issued the statement three days after President Rodrigo Duterte said he would not allow the continued operations of the network even if Congress granted a new franchise, claiming that ABS-CBN had unpaid taxes. Velasco said the House of Representatives will focus on priority legislation of the Duterte administration and measures against the coronavirus disease (Covid-19) pandemic. “With a little over a year until the 2022 elections, the House of Representatives is bent on finishing the remaining priority measures of this Administration to ensure that President Rodrigo Roa Duterte fulfills his campaign promise to the Filipino people,” he said. “On top of these priority legislation, we would like to see the passage of Bayanihan 3, as well as other economic bills geared toward rebuilding the Philippine economy shattered by the devastating impact of the global pandemic and rebuilding the lives of every Filipino disrupted by the health crisis,” he added.",Manila Times
86,https://www.manilatimes.net/2021/02/11/news/latest-stories/duterte-ph-ready-to-work-constructively-with-eu-despite-vaccine-hostage-claim/839613/,"Catherine S. Valente, TMT",2021-02-11,Duterte: PH ‘ready to work constructively’ with EU despite vaccine hostage claim,"THE Philippines is ready to work with the European Union (EU)  for the “greater good” of the people, President Rodrigo Duterte said, despite recently accusing the bloc of holding coronavirus disease 2019 (Covid-19) vaccines “hostage.” In his speech in Malacañang on Wednesday, Duterte stressed the need to “redefine, refine, and reinforce” the ties between the Philippines and the EU in the face of new challenges and opportunities. “The Philippines and the EU share a deep respect for democracy and the rule of law. This will serve as a solid foundation for robust cooperation on the basis of mutual trust, respect, and benefit. Ours is a long-standing relationship dating back to 1964,” Duterte  told EU Ambassador to the Philippines Luc Véron who presented his credentials in a ceremony Wednesday. The President said he was encouraged by the launch of the sub-committee on good governance, rule of law and human rights under Manila and EU’s Partnership and Cooperation Agreement on February 5, which serve as a formal platform where views and concerns on issues related to human rights would be raised and discussed. The next Philippines-EU Sub-Committee meeting is expected to be held in the country in 2022. “This signifies our shared resolve to implement this landmark agreement notwithstanding the pandemic,” he said. During the Wednesday’s ceremony, Duterte also accepted the credentials of four other envoys—Brazilian Ambassador to the Philippines Antonio Jose Maria De Souza E Silva, South Korean Ambassador to the Philippines Kim In-Chul, French Ambassador to the Philippines Michéle Boccoz, and Colombian Ambassador to the Philippines Marcela Ordoñez.",Manila Times
87,https://www.manilatimes.net/2021/02/11/business/at-a-glance-business/covid-19-drags-cic-sales-by-double-digits/839558/,Faye Almazan,2021-02-11,Covid-19 drags CIC sales by double digits,"Listed Concepcion Industrial Corp. (CIC) reported on Wednesday that its profit after tax and minority interests sank by 50 percent to P471 million in 2020. In a filing, the refrigerator and air-conditioner maker said its unaudited net sales for the year dived by 29 percent to P10.8 billion while overall sales, including those of its Midea air conditioner, fell by 24 percent year-on-year. CIC said the Covid-19 pandemic affected its 2020 results, especially during the height of the community quarantine in the first half. “Our focus throughout 2020 was to ensure our readiness as an organization, even as we put temporary measures to temper the impact of very weak demand,” CIC Chairman and Chief Executive Officer Raul Joseph Concepcion said in the filing. “We continue to make investments in reenergizing our brands, the right technology platforms and innovation as we open the doors to better days ahead in 2021,” he added. According to the company, its second-half results were more encouraging as consumer segment recovery started in the third quarter. Net sales during the period was only down 13 percent, while profit after tax grew by 5 percent to P682 million from breakeven in the first half. CIC shares rose by P1.05 or 5.12 percent to finish at P21.55 each on Wednesday.",Manila Times
88,https://www.manilatimes.net/2021/02/11/news/headlines/cebu-on-the-brink/839554/,Red Mendoza,2021-02-11,Cebu on the brink,"Cebu City’s hospital capacity could reach critical levels if coronavirus cases continue to rise, an academic group that tracks the country’s Covid-19 data warned on Wednesday. Octa Research said Covid-19 cases have spiked in Cebu City since February 1, and if the trend would continue, its hospital capacity would reach critical levels in two weeks. From February 1 to 7, the city averaged 123 new cases per day, 30 percent higher than the 94 cases recorded from January 25 to 31. Its positivity rate also increased to 10 percent and its attack rate to 11.11 per 100,000 population. Neighboring Mandaue and Lapu-Lapu cities also saw spikes, with positivity rates above 10 percent. The group warned that the hospital occupancy in the province might reach 70 percent in two weeks if the current transmission rate of R0 (R-naught) 1.4 and a hospitalization rate of 25 to 35 percent holds. Octa said the increase in the number of cases in the city may be attributed to the presence of the more infectious B117 variant, which was detected in Liloan, Cebu. The Department of Health (DoH) acknowledged that there was an increase in the number of cases in the city but said the spike might not be because of the spread of the new variant that originated in the United Kingdom. “Hindi ho natin masasabi na variant lang ang cause. [Maaring] naka aggravate or makasama sya sa (We can’t say that this variant is the cause. There could be other things that have aggravated it or there were other) factors but it is not the only cause of the numbers increasing in Cebu. Marami pa pong factors ‘yan (There are many factors),” Health Undersecretary Maria Rosario Vergeire said. She said other factors such as gatherings held during the holidays and delays in consultation, wherein some people take three to five days to consult doctors for symptoms after they got exposed to a close Covid-19 contact, could also be behind the spike. Vergeire said the One Hospital Command in Cebu City is managing the situation to prevent a possible surge in hospital care capacity. Octa said the National Capital Region continues to see a flattening trend in the number of Covid-19 cases despite having an R0 of1.02 and an average of 360 new cases per day. Calabarzon (Cavite, Laguna, Batangas, Rizal and Quezon) and Central Luzon had decreased their positivity rate to 5 and 4 percent, respectively, while Davao’s case numbers were also decreasing. Meanwhile, the DoH sought the help of the National Bureau of Investigation to locate a patient with the B117 variant who listed Liloan, Cebu as his hometown to determine his date of exit and see if he had indeed left the country. It is also set to sequence more than 700 samples from the National Capital Region, Calabarzon, Cordillera and Central Visayas to see if there were more cases of the new variant. Vergeire earlier said that the vaccines from the Covax Facility, which consists of the first batch of 117,000 doses of the Pfizer and BioNTech tozinameran vaccine, might arrive on February 13. It will only take two to three days upon arrival for the vaccines to be administered to frontliners in health facilities. The Health Technology Assessment Council gave its approval for the use of tozinameran and AstraZeneca’s AZD1222 vaccines. In its assessment reports released on Feb. 2 and 8, 2021, respectively, the council said both vaccines passed its appraisals. On Wednesday, the DoH logged 1,345 new cases of Covid-19, for a total of 541,560 total cases, of which 30,188 are active. Priority The DoH also said it was open to the proposal of Sen. Christopher Lawrence “Bong” Go to include national athletes in the vaccine priority list. Go urged the government to vaccinate national athletes who would compete in international sporting competitions this year such as the Olympics and the Southeast Asian Games. Vergeire said the DoH was open to the idea, but it has to consult with the interim National Immunization Technical Advisory Group (Nitag) to see if athletes can be prioritized. “Kung hinain natin ito sa Nitag at binigyan natin ng (If we propose this at the Nitag and we would start the) discussions and they would recommend being included, then we will include them,” Vergeire said. She said frontline healthcare workers would be the first to get jabs. “Wala pong ibang sektor ang mawawala sa listahan just because of this request. Ilalagay lang natin sa konteksto, and we will discuss this with experts so we can find the best way possible para maconsider itong mga ganitong (No other sectors will be removed in the list just because of this request. We will just put this into context, and we will discuss with experts so we can find the best way possible to consider this) request,” Vergeire said.",Manila Times
89,https://www.manilatimes.net/2021/02/11/opinion/columnists/covid-19-gets-deadlier-and-tougher-to-stop/839484/,Ricardo Saludo,2021-02-11,Covid-19 gets deadlier — and tougher to stop,"IF you think the rapid development and dissemination of vaccines would finally tame the severe acute respiratory syndrome coronavirus 2, or SARS-CoV-2, which causes coronavirus disease 2019 (Covid-19), think again. Besides the unprecedented challenges and risks of developing, testing, procuring, transporting, storing, and administering vaccines within extremely tight time frames to billions of people — everything never been done before — there’s the possibility that SARS-CoV-2 mutations, which have been happening since the virus first spread from Wuhan, Central China, over a year ago, may make it deadlier and harder to stop, even with immunization. Indeed, a new British study now undergoing peer review has calculated a 30-percent greater death risk from the more infectious SARS-CoV-2 variant B117, first detected in the United Kingdom last September and found in at least 70 countries, including the Philippines, as reported by the World Health Organization (WHO) in late January. This greater fatality risk could be as high as 35 percent. That means if past coronavirus strains killed 1,000 people a day, the new one could snuff out 1,350 lives, according to the study by the Center for Mathematical Modelling of Infectious Diseases (CMMID) at the London School of Hygiene and Tropical Medicine (https://www.medrxiv.org/content/10.1101/2021.02.01.21250959v1). The CMMID researchers estimated “that the hazard of death among SGTF [or B117] cases is 30 percent … higher than among non-SGTF cases after adjustment for age, sex, ethnicity, deprivation level, care home residence, local authority of residence and date of test.” And taking account of misclassification of UK-variant patients, the estimated fatality risk would be 35 percent more. What’s worse, there are signs in a small number of UK cases that the British variant may have a mutation first seen in the South African and Brazilian variants, which makes the coronavirus less vulnerable to antibodies produced by people with Covid-19 or vaccination. If confirmed by more data from a wider range of cases, this additional mutation, called E484K, would make B117, which is already more transmissible by as much as 70 percent, also more resistant to immunization. In short, Covid-19 is getting deadlier and harder to stop. Wear masks and find cures
These findings are still being validated by more research. But strategic risk analysis would point to two likely and worrisome trends. First, more infectious variants like B117 will eventually predominate, since it infects more people and spreads faster than the older strains. Moreover, mutations resistant to antibodies would also become prevalent, since more of such strains survive than past ones. Indeed, as immunization spreads, resistant variants would become dominant sooner since the nonresistant ones would die out faster due to vaccinations. These risk factors underscore the imperative that the world continue mask wearing and other prevention protocols and work not only on vaccines but also cures, especially for severe cases that fill hospitals and morgues. The provision of Covid-19 remedies would also consume far less resources than vaccination. For one thing, severe cases requiring medical treatment constitute just a tiny fraction of the population, while vaccination must cover more than half the nation for it to prevent massive deaths. Moreover, a number of remedies have been developed by repurposing existing medications like hydroxychloroquine and azithromycin, which are often cheap compared with newly developed vaccines. And the side effects of these formulations are already well known, so they can be prescribed with proper safeguards. And if the state expands intensive care units and ventilators nationwide, these facilities would be of use for years and for other illnesses besides Covid-19, unlike vaccines. Hence, in its pandemic responses and budgeting, the government must give as much consideration to medical treatment of the thousands of severe Covid-19 cases as rolling out vaccines for tens of millions of Filipinos, purchased with many billions of dollars in loans which would burden the economy for many years. For this reason, we commend the Department of Science and Technology and its Philippine Council for Health Research and Development for their programs and funding to develop local Covid-19 remedies. One that this writer is involved with is the formulation and testing of a drug combining the anti-inflammatory medicine methylprednisolone and the anesthetic procaine, pushed by Covid cure advocate Ruby Ann Kagaoan and undertaken by the De La Salle Medical and Health Sciences Institute in Dasmariñas, Cavite, and the University of the Philippines College of Pharmacy in Manila. Plainly, with vaccines not only hugely expensive and difficult to deploy, but also unsure of success due to coronavirus mutations, the Philippines must make sure to develop and deploy medication and facilities for severely ill Covid-19 patients, who will continue to be among us, vaccines or no vaccines.",Manila Times
90,https://www.manilatimes.net/2021/02/10/news/latest-stories/manila-provides-monthly-food-subsidies-to-700k-families/838984/,John Eric Mendoza,2021-02-10,Manila provides monthly food subsidies to 700K families,"THE Manila government on Wednesday began the distribution of food packs in line with the city’s Food Security Program (FSP) that aims to subsidize about 700,000 families monthly. Mayor Francisco “Isko Moreno” Domagoso said the program is aimed to mitigate the economic impact of the coronavirus disease 2019 (Covid-19). “Uunahin na muna natin ang tao sa lungsod ng Maynila,” Domagoso said during a meeting with department heads. (We should prioritize the people in the city of Manila first.) The food subsidy includes three kilos of rice, 16 pieces of various canned goods and eight sachets of coffee. The local government allocated P3 billion for the program.",Manila Times
91,https://www.manilatimes.net/2021/02/10/news/latest-stories/who-team-coronavirus-unlikely-to-have-leaked-from-china-lab/838856/,Associated Press,2021-02-10,WHO team: Coronavirus unlikely to have leaked from China lab,"WUHAN, China: The coronavirus most likely first appeared in humans after jumping from an animal, a team of international and Chinese scientists looking for the origins of coronavirus disease 2019 (Covid-19) said Tuesday, saying an alternate theory that the virus leaked from a Chinese lab was unlikely. A closely watched visit by World Health Organization (WHO) experts to Wuhan — the Chinese city where the first coronavirus cases were discovered — did not dramatically change the current understanding of the early days of the pandemic, said Peter Ben Embarek, the leader of the WHO mission. But it did “add details to that story,” he said at a news conference as the group wrapped up a four-week visit to the city. And it allowed the joint Chinese-WHO team to further explore the lab leak theory — which former US President Donald Trump and officials from his administration had put forward without evidence — and decide it was unlikely. The Wuhan Institute of Virology is home to many different virus samples, leading to allegations that it may have been the source of the original outbreak, whether on purpose or accidentally. Peter Ben Embarek of the World Health Organization team holds up a chart showing pathways of transmission of the virus during a joint press conference held at the end of the WHO mission in Wuhan in central China’s Hubei province on Tuesday, Feb. 9, 2021. (AP Photo/Ng Han Guan) Embarek, a WHO food safety and animal disease expert, said experts now consider the possibility of such a leak so improbable that it will not be suggested as an avenue of future study. But another team member, Danish scientist Thea Koelsen Fischer, told reporters that team members could not rule out the possibility of further investigation and new leads. China had already strongly rejected the possibility of a leak and has promoted other theories. The Chinese and foreign experts considered several ideas for how the disease first ended up in humans, leading to a pandemic that has now killed more than 2.3 million people worldwide. Embarek said the initial findings suggest the most likely pathway the virus followed was from a bat to another animal and then to humans, adding that would require further research. “The findings suggest that the laboratory incidents hypothesis is extremely unlikely to explain the introduction of the virus to the human population,” he said. Liang Wannian, the head of the Chinese side, noted that there was no sample of the virus that causes Covid-19 in the lab — and thus it could not have come from there. The mission was intended to be an initial step in the process of understanding the origins of the virus, which scientists have posited may have passed to humans through a wild animal, such as a pangolin or bamboo rat. Transmission directly from bats to humans or through the trade in frozen food products are also possibilities, Embarek said. The WHO team’s visit is politically sensitive for Beijing, which is concerned about being blamed for alleged missteps in its early response to the outbreak. An AP investigation has found that the Chinese government put limits on research into the outbreak and ordered scientists not to speak to reporters. A WHO-China Joint Study Press Conference is held at the end of a WHO mission to investigate the origins of the coronavirus pandemic in Wuhan in central China’s Hubei province, Tuesday, Feb. 9, 2021. (AP Photo/Ng Han Guan) Still, one member of the WHO team, British-born zoologist Peter Daszak, told The Associated Press last week that they enjoyed a greater level of openness than they had anticipated, and that they were granted full access to all sites and personnel they requested. Koelsen Fischer said she did not get to see the raw data and had to rely on an analysis of the data that was presented to her. But she said that would be true in most countries. The team — which includes experts from 10 countries who arrived on Jan. 14 — visited the Huanan Seafood Market, the site of an early cluster of cases in late 2019. Marion Koopmans, a Dutch virologist on the team, said that some animals at the market were susceptible or suspected to be susceptible to the virus, including rabbits and bamboo rats. And some could be traced to farms or traders in regions that are home to the bats that carry the closest related virus to the one that causes Covid-19. She said the next step would be to look more closely at farms. Liang, the head of the Chinese team, said the virus also appeared to have been spreading in parts of the city other than the market, so it remains possible that the virus originated elsewhere. Marion Koopmans, right, and Peter Ben Embarek, center, of a World Health Organization team look over at their Chinese counterpart Liang Wannian, left, during a WHO-China Joint Study Press Conference held at the end of their mission to investigate the origins of the coronavirus pandemic in Wuhan in central China’s Hubei province, Tuesday, Feb. 9, 2021. (AP Photo/Ng Han Guan) The team found no evidence that the disease was spreading widely any earlier than the initial outbreak in the second half of December 2019. “We haven’t been able to fully do the research, but there is no indication there were clusters before what we saw happen in the later part of December in Wuhan,” Liang said. The visit by the WHO team took months to negotiate. China only agreed to it amid international pressure at the WHO’s World Health Assembly meeting last May, and Beijing has continued to resist calls for a strictly independent investigation. While China has weathered some localized resurgences of infection since getting the outbreak under control last year, life in Wuhan itself has largely returned to normal.",Manila Times
92,https://www.manilatimes.net/2021/02/10/news/national/pasay-city-mayor-contracts-covid-19/838791/,John Eric Mendoza,2021-02-10,Pasay City mayor contracts Covid-19,"PASAY City Mayor Emi Calixto-Rubiano on Tuesday confirmed that she tested positive for the coronavirus disease 2019 (Covid-19). Mayor Emi Calixto-Rubiano. Photo from FB account. She said she started experiencing some Covid-19 symptoms prompting her to immediately get a swab test. “Sa resulta, nakita na ako ay nag-positibo sa nasabing sakit (Results have shown that I tested positive for the said disease),” the mayor said in a Facebook post. She added that the results were released on Monday. The mayor said she and others were exposed to a City Hall employee. They were all required to undergo swab tests. Calixto-Rubiano is now in isolation and ordered her personnel to conduct contact tracing on the employees’ close contacts. “The coronavirus does not choose who to infect. Let us not be complacent, but continue to be careful and cautious,” she said. “This likewise highlights the reality that we really need the vaccination, and our continuous prayers to our Almighty God.” The mayor said she would continue to work via teleconferencing and messaging apps. Pasay has 7,137 cases of the new coronavirus, including 80 active cases, 6,873 recoveries and 184 deaths.",Manila Times
93,https://www.manilatimes.net/2021/02/09/news/latest-stories/time-to-wear-a-better-mask-experts-say/838594/,Agence France-Presse,2021-02-09,"Time to wear a better mask, experts say","WASHINGTON, D.C.: As new, more transmissible variants of the coronavirus spread, experts say it’s time to consider using a medical-grade respirator, or wearing a surgical and cloth mask together. Scientists have agreed for some time the main way the virus is spread is through the air, rather than surfaces, and there’s growing evidence that small droplets from ordinary breathing and speech that can travel many meters (yards) are a common mode of transmission. Added to this is the greater contagiousness of emerging variants, like B.1.1.7, which takes a smaller viral load to cause symptomatic Covid-19 compared to the more common strain. Back when authorities first recommended people wear face coverings, proper masks were in extremely short supply and the public was encouraged to fashion makeshift solutions out of T-shirts or bandanas. But these are far from ideal. Linsey Marr, a professor of civil and environmental engineering at Virginia Tech, who studies airborne disease transmission, told Agence France-Presse: “How well a mask works depends on two things: filtration and fit. “Good filtration removes as many particles as possible, and a good fit means that there are no leaks around the sides of your mask, where air — and viruses — can leak through,” she said, adding even a small gap could lead to a 50 percent reduction in performance. The best materials for blocking small particles include non-woven polypropylene, which is used to make N95s and many surgical-type masks, and the HEPA filters in planes. Among fabrics, tightly woven cotton works best, she added. This illustration shows a woman wearing two facemasks, a cloth mask over a surgical mask, in Arlington, Virginia, on February 8, 2021. AFP PHOTO “If you wear a cloth mask, choose one that has multiple layers, ideally one with a pocket that you can slip a good filter material into,” said Marr. “Or you can double mask by wearing a surgical-type mask with a tight-fitting cloth mask over it.” Surgical masks are made of material that filters things out well, but they tend to be loose, so adding a cloth mask on top holds down the edges and reduces leaks. Adding an additional layer improves filtration —  if one layer traps 50 percent of all particles, combining two gets to 75 percent. But, she added: “We do not recommend wearing more than two masks. Adding more layers proves diminishing returns and can compromise breathability. It must remain easy to breathe through the layers; otherwise, air is more likely to leak in around the sides of the mask.” Masks that have a metal nose bridge help ensure a snug fit, as do straps that tighten around the head, not just the ears. Braces that improve the fit of surgical masks are now available on the market. “You should feel the mask sucking inward when you breathe in, and if you hold your hands around the sides of the mask, you should not feel any air leaking out when you breathe out,” said Marr. In this file photo taken on January 29, 2021 a woman wearing double protective face masks to prevent the spread of Covid-19 waits at a traffic light in Hanoi, a day after Vietnam recorded its first coronavirus outbreak in almost two months. AFP PHOTO Another option is getting hold of N95s, or their international equivalents such as KN95, FFP2 etc. “They all provide a similar level of filtration, meaning protection of particles going in and out,” Ranu Dhillon, a global health physician at Brigham and Women’s Hospital and Harvard Medical School. Dhillon, who has been advocating in favor of better masks since last spring, is frustrated by the lack of clear messaging to the public on the value of better masks. What’s more, “there’s not been a concerted push to really mass produce and mass distribute these higher caliber masks.” Health care workers have their masks professionally fit-tested every year to ensure they’re making the right seal, but Dhillon doesn’t see this as a major obstacle. “To teach people to fit a mask, even if not 100 percent perfectly, but more effectively, is something that’s very doable.” In this file photo taken on December 10, 2020 a man wears a double mask as he visits Times Square in New York. AFP PHOTO The key to conceptualizing the threat is to think of cigarette smoke, said Donald Milton, a professor of environmental health at the University of Maryland. Ventilation definitely helps, but if you’re between a person who is breathing and an exhaust vent, the virus will still reach you — which makes good masks so crucial, he said. Milton and Dhillon are cautiously optimistic that their pleas could soon become policy under the administration of President Joe Biden, and CNN reported last week the US government was working on the first official mask standards. Prior to the pandemic, Milton and other aerosol scientists studying the flu concluded it too is transmitted from tiny droplets from ordinary speaking and breathing, and that the role of sneezing, coughing and transmission from surfaces was smaller than thought. Their findings stirred controversy at the time, but Covid-19 has renewed interest in the research — meaning masks could be a common sight during tough flu seasons, long after the pandemic has receded. ",Manila Times
94,https://www.manilatimes.net/2021/02/09/news/latest-stories/kalinga-gov-tests-positive-for-covid/838592/,None,2021-03-08,Kalinga gov tests positive for Covid,"TUGUEGARAO CITY: Kalinga Governor Ferdinand Tubban has announced “with regrets” that he was tested positive for the coronavirus disease 2019 (Covid-19). Kalinga Governor Ferdinand Tubban, Photo from Wikipedia In a Facebook post in the provincial government-maintained site, Tubban, who learned of the result on Monday after taking the real time reverse transcription-polymerase chain reaction (RT-PCR) test, has asked people with whom he had come into contact with in the past week to observe for signs or symptoms of the virus and to consult a health worker. The governor has called on residents to observe minimum health protocols such as washing hands frequently, wearing face mask and face shield and to observe social distancing. It was not immediately known where the governor got the virus. Due to the imposition of the enhanced community quarantine (ECQ) in Tabuk City until February 15, the scholarship renewal of grantees has been postponed indefinitely, according to Mayor Darwin Estranero. The grantees, however, were advised to get their grades and enrollment or assessment form and submit them to the Scholarship Office as soon as schools open after the lockdown. Meanwhile, 116 applications are still pending since May 2020 because the Scholarship Office cannot contact the applicants for an interview due to inactive phone numbers. Uncooperative contacts The municipal health office (MHO) of Lubuagan town in Kalinga is faced with the problem of non-cooperative direct contacts of Covid-19 patients. Mayor Charisma Anne Dickpus urged the public to cooperate in the observance of health protocols and to maintain discipline as a way to combat the spread of Covid-19. Dr. Caroline Agyao, MHO chief, said people who knew they have directly interacted with Covid-19 patients refuse to come forward and cooperate and this has been one of their struggles during contact tracing. “We are begging those that had contact with Covid-19 positive patients to submit themselves. This is also for the protection of the elderly and children who are with them in the same house,” Agyao said. She said some also refuse to reveal their contacts and in one instance resulted in the infection of one of their office staff and that all of them had to be quarantined. “Others even hide and when we conduct random testing in areas identified, we find out that there were those infected with the virus,” Agyao said. Agyao said they welcome the modified enhanced community quarantine (MECQ) status of Lubuagan town because it limits the movement of residents and prohibits them from going in and out of the municipality for non-essential travels. “The extension of the MECQ will also provide them ample time to trace all possible contacts of those who turned positive for Covid-19,” she said. Lubuagan town has recorded a total of 59 cases in the municipality since Nov. 20, 2020 with a total of 36 active cases and 23 recoveries as of February 7.",Manila Times
95,https://www.manilatimes.net/2021/02/07/business/sunday-business/execs-work-life-balance-vital-amid-covid/837787/,Faye Almazan,2021-02-07,Execs: Work-life balance vital amid Covid,"Foreign-born corporation chiefs in the Philippines have stressed the importance of maintaining a work-life balance after the coronavirus pandemic disrupted business operations and changed the work arrangements of employers and employees alike. This emerged during a webinar of the French Chamber of Commerce on Wednesday, where these company heads highlighted the vital role of sports and mental health in easing the stress caused by the current working environment, which sees many people still working from home. For Dr. Amal Makhloufi Benchouk, Sanofi Philippines general manager and country chairman, keeping a work-life balance is crucial for a sound body and mind. She said it was important to take care of one’s self, especially since the boundary between the workplace and home had been blurred. According to her, some of the things she does to sustain that balance are setting up specific work times; discouraging meetings during lunch breaks; and dedicating her free time to exercising, learning new skills and her family. She said measures that Sanofi had implemented to ensure the health of its employees included adopting a flexible working scheme, setting a specific time for calls to avoid “Zoom fatigue” and regularly working out to promote physical fitness. The company also launched an employee assistance program that aims to provide workers and their families with services like counselling for both personal and professional situations. “As we go on with our daily lives amid the pandemic and beyond, I would like to prescribe a healthy dose of self-care, which I believe is the best medicine for both our mental and physical health,” Benchouk said. Meanwhile, Decathlon Philippines Chief Executive Officer Hans Iff said sports was important in maintaining a healthy lifestyle. According to him, sports could help release positive hormones that could make one feel happier, relaxed and sensible. Iff also shared a few tips that could help people improve their lifestyle, including creating a routine, keeping some moments to themselves and setting reachable targets. One should learn to listen to one’s body and know one’s limitations, according to him as he emphasized the importance of getting good sleep. For Jones Lang LaSalle Country Head and CCI France Philippines President Cristophe Vicic, the pandemic accelerated his company’s well-being strategy for employees. “The JLL vision is that we want our people to feel supported, engaged and healthy,” Vicic said. According to him, this vision is built on four pillars: mental well-being, physical well-being, financial well-being and inclusion in the workplace. Vicic also attested to his experiences in marathons as having helped him in his career and how he applied the principles of preparing for race in his life and career. For more, watch the edited version of the webinar at The Manila Times YouTube channel: https://youtu.be/PF033nYyid4.",Manila Times
97,https://www.manilatimes.net/2021/02/04/news/latest-stories/ph-records-1590-new-covid-19-cases/837158/,Red Mendoza,2021-02-04,"PH records 1,590 new Covid-19 cases","THE Philippines recorded 1,590 cases of the coronavirus disease 2019 (Covid-19) on Thursday, according to the Department of Health, increasing the number of infections to 531,699. Of the 32,775 active cases, more than 95 percent are mild, moderate and asymptomatic, while the rest are severe or critical. There are 487,927 recoveries, including 249 new survivors. The death toll is at 10,997 with 55 new fatalities. The country’s positivity rate is at 5.8 percent with 1,428 testing positive for the virus out of the 24,7691 samples sent to laboratories nationwide.",Manila Times
